"name","address","phone","website","rating","reviewSnippet"
"Manhattan Dentist","551 5th Ave Rm 1114, New York, NY 10176","(917) 503-9164","https://www.manhattannydentist.com",,
"David A Nusblatt","10 E 40th St, New York, NY 10016","(212) 473-2164","http://www.nusblattdental.com","5","Dr. David A. Nusblatt's involvement further enhanced the quality of care. Beyond overseeing the cleaning process, Dr. Nusblatt took the time to discuss any potential dental…"
"Preferred Dental Care of Chelsea","135 W 27th St, New York, NY 10001","(646) 759-4489","http://www.chelseadentalcare.com","4","I visited the dental clinic for a cleaning appointment, and I had my 4-month-old baby with me. The staff exhibited exceptional kindness and helpfulness, consistently checking…"
"Joanna Tricorache, DDS","31 Washington Sq W, New York, NY 10011","(646) 835-0172","http://www.teeththatsparkle.com","5","The use of modern dental technology at Dr. Tricorache's practice showcased a dedication to staying abreast of the latest advancements in oral care. This commitment not only…"
"Herald Square Dental & The Denture Center","224 W 35th St Fl 16, New York, NY 10001","(212) 689-0024","http://www.heraldsquaredental.com","5","Dr. Pasch is wonderful!! Best fitting dentures and amazing service!"""
"Dr. Simon W. Rosenberg, DMD","399 E 72nd St Apt 1a, New York, NY 10021","(212) 988-8822","http://www.drsimonrosenberg.com","5","Had a minor dental emergency while on holiday in Manhattan. Looked up dentists in the area and Dr. Rosenberg came up in the search results and I'm glad he did. The service was…"
"Emergency Dentist NYC","630 5th Ave, New York, NY 10111","(888) 537-0776","http://www.dentalemergencynyc.com",,
"Rosa D John DDS PC","40 Newport Pkwy, Jersey City, NJ 07310","(201) 626-2700","http://drrosadds.com",,
"Brooklyn Dental","142 Joralemon St Ste 6e, Brooklyn, NY 11201","(718) 624-1970","http://www.dentistbrooklyn.com","5","Dr. Amirian has been my dentist for few years and I'm confident to recommend him to anyone who needs any type of dental treatment. As his patient I can tell you that he will…"
"Haber Sol D","139 Clinton St, Brooklyn, NY 11201","(718) 855-6700","http://www.drhaberoralsurgery.com",,
"Shaun Massiah DMD PC","50 W 97th St Apt 1C, New York, NY 10025","(212) 222-5225","http://www.drmassiah.com","5","I like when doctor Massiah  plays music when doing his dental work. I think he really puts his feelings into his work.From Theo, age 10"""
"Perio NYC West: David P. Pitman, DMD","57 W 57th St, New York, NY 10019","(212) 888-2833","https://www.perionyc.com","5","I've been a long time patient and have only very positive things to say about Dr. Poiman and his entire team."""
"Dr. Kara Mason, DMD","30 E 60th St Rm 503, New York, NY 10022","(212) 355-2195","http://www.gentledentalnyc.com","5","Extremely knowledgeable of craft with sincere care for her patients."""
"Rubin Esther S","18 E 48th St, New York, NY 10017","(212) 593-7272","http://www.holisticdentistrynyc.com","5","I've been a patient for many years now.  I'm always impressed with the great balance of professional and personal attention I receive in Dr. Rubin's office.  Everyone in the…"
"Irina Rossinski, DDS","30 5th Ave Apt 1G, New York, NY 10011","(212) 673-3700","http://www.rossinski.com","5","Dr. Rossinski has been a wonderful dentist for the past 10+ years I have been a patient. She is calm and considerate when she does procedures. She explains the entire procedure…"
"Schlesinger, William, DDS","225 E 70th St, New York, NY 10021","(212) 517-4660","http://wsdds.com","5","My experience with Mr. Schlesinger and his staff was great. I recommend any newcomer(s) to come here and get seen!"""
"Strachan Jeff C","32 Court St Ste 500, Brooklyn, NY 11201","(718) 783-0504","https://urldefense.proofpoint.com/v2/url?u=http-3A__www.strachandds.com_&d=AwIDAw&c=lXkdEK1PC7UK9oKA-BBSI8p1AamzLOSncm6Vfn0C_UQ&r=cpbATwt8hbqf5DpfXoZMeG1yllBgP19vmYAte9W9Lts&m=AqjpljbBPUdIIeQjZE5ctk9zoYSm0IFpjI5ZGC7adfE&s=L0XvmYwWfceJQuGzA1eRf3Ib4de_9elnGawg7UHExqU&e=","5","I have been a long time patient of Dr Strachan.He is an amazing Dental Surgeon,his talents go beyond just skill set ,because he has the gift of artistry with what is…"
"Dr. Majid Rajabi-Khamesi, DDS","30 E 40th St, New York, NY 10016","(212) 481-2535","http://www.advanceddentalnyc.com","5","First visited him at the age of 7-8 years old. I'm now 28. There is no doctor i trust more with myself and my family."""
"Contemporary Dental Implant Centre","295 Madison Ave, New York, NY 10017","(646) 862-7088","http://www.contemporarydentalimplantcentre.com","5","I went to Dr Peter Muntean to have two implants done complete with crown and abutments.  The first visit was just a free consultation. I felt very comfortable with my meeting…"
"Century Medical & Dental Center","827 11th Ave, New York, NY 10019","(212) 369-5566","https://www.centurymedicaldental.com","5","I trust Dr Birnbaum for doing exactly what is needed - no less and no more.  I and my teeth feel great after the visit"""
"Sameh H. Aknouk, DDS","853 Broadway Ste 911, New York, NY 10003","(212) 677-6568",,"5","Everyone was so friendly and helpful and I am finally smiling after two years with a hole in mouth! Thank you for everything."""
"Dr. Jonathan Freed, D.D.S., P.C.","315 Madison Ave Rm 509, New York, NY 10017","(212) 682-5644","http://www.madisonavedentist.com",,
"Dr. Svetlana Yampolsky, DDS","19 W 34th St Rm 1201, New York, NY 10001","(212) 564-6686",,"5","My Experience at Dr. Yampolsky office has been Great. The front desk staff is very friendly and welcoming. The office is very clean, My dentist is awesome and I'm always in and…"
"Dr. Elliot Schreiber, DMD","42 Broadway Ste 1515, New York, NY 10004","(212) 269-6655","http://www.stuartmoore.com","5","I have been going to DDS group for many years for my semi-annual check-ups and cleanings. The experience has always been great. The staff is friendly and professional, making…"
"Jay Neuhaus, DDS","693 5th Ave 14 Floor, New York, NY 10016","(212) 777-6725","https://www.sleepwellorthotics.com","5","He has fixed my many problems (implants, fillings, bridge work) over the years and I've always been satisfied.I plan on doing a sleep study to take advantage of his other…"
"David Blaustein, DDS","415 W 23rd St Apt 1B, New York, NY 10011","(212) 243-6081","http://www.chelseadentalaesthetics.com","5","Great dental care for me for over 25 years. Highest recommendation!"""
"SmilesNY","200 E 63rd St Lobby F, New York, NY 10065","(212) 752-6537","http://www.smilesny.com","5","Excellent service. Efficient as usual! I would highly recommend them to my friends and family and anyone needing a dentist!"""
"Dr. Carrie C Giuliano, DDS","145 E 15th St, New York, NY 10003","(212) 598-5840","http://www.carriegiulianodds.com","5","Carrie is the best dentist I have seen! Thank you very much! Keep coming back here :)"""
"Park Avenue Dental Cosmetics","35 E 35th St, New York, NY 10016","(212) 532-0690","http://www.parkavenuedentistnyc.com","5","Had a very good visit! Thank you Dr"""
"Randy Pritz, DMD","30 5th Ave Apt 1G, New York, NY 10011","(212) 673-3700","http://www.rossinski.com","5","It was great. Dr. Randy Pritz was attentive and thorough!"""
"Stanley Harris, DDS, PC","185 Montague St 8th Fl, Brooklyn, NY 11201","(347) 252-3350","http://www.dentalbrooklynheights.com","5","This was the most thorough, professional cleaning I've ever had.  Great experience - looking forward to my next appointment in 6 months."""
"Dr. Karthilde K Appolon, DDS","250 W 57th St 805, New York, NY 10107","(212) 557-8668","http://drappolon.com","5","Shes great! I was referred to her by a co-worker and almost a year later I still come back. She takes her time doing the procedures and after its over, she tells you what…"
"DDS Group","42 Broadway, New York, NY 10004","(212) 269-6655","https://www.ddsgroupnyc.com","5","I highly recommend Dr. Handler and this practice!"""
"Michelle Mirsky","110 E 40th St Rm 502, New York, NY 10016","(212) 687-3808","https://www.abelsonmirskydds.com","5","Dr. Mirsky was incredibly welcoming, knowledgeable, and professional. I would highly recommend her to anyone who is looking for a Dentist in the city."""
"Farinaz Golda Mairzadeh, DDS","30 E 40th St Rm 207, New York, NY 10016","(212) 696-4979","https://www.concerneddentalcare.com","5","Dr. Mairzadeh is very professional and personal.She understands what you want to achieve with your looks and does her best to provide that."""
